customer_id,event_type,event_date
C0001,visited_site,2024-11-08
C0001,viewed_product,2024-11-09
C0001,added_to_cart,2024-11-10
C0001,purchased,2024-11-11
C0002,visited_site,2024-08-09
C0003,visited_site,2023-02-17
C0003,viewed_product,2023-02-19
C0004,visited_site,2023-09-06
C0004,viewed_product,2023-09-08
C0004,added_to_cart,2023-09-08
C0005,visited_site,2023-01-08
C0006,visited_site,2024-04-13
C0006,viewed_product,2024-04-13
C0006,added_to_cart,2024-04-15
C0007,visited_site,2024-02-09
C0007,viewed_product,2024-02-10
C0008,visited_site,2024-12-12
C0008,viewed_product,2024-12-12
C0008,added_to_cart,2024-12-14
C0009,visited_site,2023-01-26
C0009,viewed_product,2023-01-28
C0009,added_to_cart,2023-01-29
C0010,visited_site,2023-08-20
C0010,viewed_product,2023-08-22
C0011,visited_site,2023-06-22
C0011,viewed_product,2023-06-23
C0012,visited_site,2024-05-16
C0012,viewed_product,2024-05-17
C0012,added_to_cart,2024-05-17
C0013,visited_site,2023-08-06
C0013,viewed_product,2023-08-06
C0014,visited_site,2023-11-18
C0014,viewed_product,2023-11-19
C0014,added_to_cart,2023-11-19
C0015,visited_site,2024-06-13
C0016,visited_site,2023-12-15
C0016,viewed_product,2023-12-15
C0016,added_to_cart,2023-12-17
C0017,visited_site,2023-06-09
C0018,visited_site,2024-06-06
C0019,visited_site,2024-11-04
C0019,viewed_product,2024-11-06
C0019,added_to_cart,2024-11-06
C0019,purchased,2024-11-07
C0020,visited_site,2024-09-21
C0020,viewed_product,2024-09-22
C0020,added_to_cart,2024-09-23
C0020,purchased,2024-09-24
C0021,visited_site,2023-10-13
C0021,viewed_product,2023-10-13
C0022,visited_site,2024-06-21
C0022,viewed_product,2024-06-23
C0023,visited_site,2024-12-28
C0023,viewed_product,2024-12-29
C0023,added_to_cart,2024-12-30
C0024,visited_site,2023-10-11
C0024,viewed_product,2023-10-12
C0024,added_to_cart,2023-10-14
C0025,visited_site,2023-05-11
C0025,viewed_product,2023-05-12
C0025,added_to_cart,2023-05-13
C0026,visited_site,2024-03-03
C0026,viewed_product,2024-03-05
C0026,added_to_cart,2024-03-05
C0027,visited_site,2024-09-02
C0027,viewed_product,2024-09-03
C0027,added_to_cart,2024-09-03
C0028,visited_site,2023-08-18
C0028,viewed_product,2023-08-19
C0029,visited_site,2023-04-02
C0029,viewed_product,2023-04-04
C0030,visited_site,2023-02-11
C0030,viewed_product,2023-02-12
C0030,added_to_cart,2023-02-13
C0030,purchased,2023-02-15
C0031,visited_site,2023-03-11
C0031,viewed_product,2023-03-11
C0032,visited_site,2023-07-28
C0032,viewed_product,2023-07-28
C0032,added_to_cart,2023-07-30
C0033,visited_site,2024-03-04
C0033,viewed_product,2024-03-04
C0033,added_to_cart,2024-03-06
C0034,visited_site,2023-03-29
C0034,viewed_product,2023-03-29
C0034,added_to_cart,2023-03-31
C0035,visited_site,2023-09-18
C0035,viewed_product,2023-09-20
C0035,added_to_cart,2023-09-20
C0036,visited_site,2024-09-11
C0036,viewed_product,2024-09-13
C0036,added_to_cart,2024-09-14
C0036,purchased,2024-09-14
