order_item_id,order_id,product_id,quantity,unit_price
1,O00001,P015,2,35.0
2,O00001,P018,3,89.0
3,O00001,P004,3,45.0
4,O00002,P015,1,35.0
5,O00002,P003,1,899.0
6,O00003,P014,2,60.0
7,O00003,P002,2,150.0
8,O00004,P015,1,35.0
9,O00005,P020,2,77.0
10,O00005,P009,2,77.0
11,O00006,P012,1,40.0
12,O00006,P015,1,35.0
13,O00007,P001,2,1200.0
14,O00007,P019,2,130.0
15,O00008,P018,1,89.0
16,O00008,P001,2,1200.0
17,O00008,P012,2,40.0
18,O00009,P011,1,154.0
19,O00009,P003,2,1258.6
20,O00009,P019,1,182.0
21,O00009,P006,3,133.0
22,O00010,P015,2,35.0
23,O00010,P001,3,1200.0
24,O00010,P008,3,75.0
25,O00011,P014,2,60.0
26,O00011,P013,2,90.0
27,O00012,P009,2,55.0
28,O00012,P005,2,120.0
29,O00012,P010,3,85.0
30,O00013,P005,2,120.0
31,O00014,P014,2,69.0
32,O00015,P011,3,110.0
33,O00015,P009,2,55.0
34,O00016,P020,2,77.0
35,O00016,P004,1,63.0
36,O00016,P008,2,105.0
37,O00017,P012,3,40.0
38,O00017,P009,3,55.0
39,O00017,P010,1,85.0
40,O00018,P012,3,56.0
41,O00019,P018,2,89.0
42,O00019,P004,1,45.0
43,O00020,P012,3,40.0
44,O00020,P017,2,65.0
45,O00020,P002,2,150.0
46,O00020,P010,3,85.0
47,O00021,P015,1,40.25
48,O00021,P001,3,1380.0
49,O00021,P007,1,207.0
50,O00021,P005,3,138.0
51,O00022,P009,3,63.25
52,O00023,P009,3,55.0
53,O00023,P016,3,120.0
54,O00024,P018,2,89.0
55,O00024,P020,2,55.0
56,O00024,P009,1,55.0
57,O00025,P004,3,45.0
58,O00026,P012,2,40.0
59,O00026,P017,1,65.0
60,O00026,P005,3,120.0
61,O00026,P008,1,75.0
62,O00027,P020,1,55.0
63,O00027,P019,1,130.0
64,O00027,P013,3,90.0
65,O00027,P005,1,120.0
66,O00028,P005,1,138.0
67,O00029,P018,3,124.6
68,O00029,P004,2,63.0
69,O00029,P005,1,168.0
70,O00029,P002,3,210.0
71,O00030,P012,3,40.0
72,O00030,P013,1,90.0
73,O00030,P006,3,95.0
74,O00031,P009,3,63.25
75,O00031,P014,2,69.0
76,O00031,P002,3,172.5
77,O00031,P008,2,86.25
78,O00032,P004,3,51.75
79,O00032,P006,2,109.25
80,O00033,P015,2,49.0
81,O00033,P006,1,133.0
82,O00034,P012,1,56.0
83,O00034,P003,2,1258.6
84,O00034,P020,3,77.0
85,O00034,P005,1,168.0
86,O00035,P015,2,40.25
87,O00035,P004,2,51.75
88,O00035,P002,3,172.5
89,O00036,P018,1,124.6
90,O00037,P018,2,124.6
91,O00037,P011,2,154.0
92,O00038,P008,2,75.0
93,O00038,P014,2,60.0
94,O00038,P007,1,180.0
95,O00038,P010,3,85.0
96,O00039,P019,3,149.5
97,O00039,P009,1,63.25
98,O00039,P008,3,86.25
99,O00040,P005,3,120.0
100,O00041,P012,1,40.0
101,O00041,P004,2,45.0
102,O00041,P006,3,95.0
103,O00042,P015,3,49.0
104,O00042,P011,2,154.0
105,O00042,P016,2,168.0
106,O00043,P015,3,35.0
107,O00043,P011,3,110.0
108,O00043,P004,1,45.0
109,O00044,P018,1,89.0
110,O00045,P009,3,63.25
111,O00046,P015,1,35.0
112,O00047,P014,2,84.0
113,O00047,P013,3,126.0
114,O00047,P008,2,105.0
115,O00048,P012,2,56.0
116,O00049,P013,2,90.0
117,O00049,P005,2,120.0
118,O00050,P008,2,75.0
119,O00051,P020,3,55.0
120,O00051,P004,1,45.0
121,O00052,P009,2,63.25
122,O00053,P004,2,51.75
123,O00053,P001,3,1380.0
124,O00053,P011,2,126.5
125,O00053,P002,3,172.5
126,O00054,P004,3,45.0
127,O00055,P015,3,35.0
128,O00055,P019,3,130.0
129,O00055,P005,3,120.0
130,O00055,P006,1,95.0
131,O00056,P003,3,899.0
132,O00056,P001,2,1200.0
133,O00056,P004,1,45.0
134,O00057,P012,2,46.0
135,O00058,P015,3,40.25
136,O00058,P017,3,74.75
137,O00058,P009,1,63.25
138,O00059,P018,2,124.6
139,O00059,P002,3,210.0
140,O00059,P010,3,119.0
141,O00060,P020,2,77.0
142,O00060,P014,2,84.0
143,O00060,P007,1,252.0
144,O00060,P016,2,168.0
145,O00061,P015,1,40.25
146,O00061,P013,2,103.5
147,O00061,P017,1,74.75
148,O00061,P002,2,172.5
149,O00062,P003,2,1258.6
150,O00062,P001,2,1680.0
151,O00062,P007,1,252.0
152,O00063,P006,2,95.0
153,O00064,P012,2,40.0
154,O00064,P004,1,45.0
155,O00065,P011,2,110.0
156,O00065,P002,2,150.0
157,O00065,P006,2,95.0
158,O00066,P015,2,35.0
159,O00066,P020,3,55.0
160,O00066,P016,3,120.0
161,O00066,P008,1,75.0
162,O00067,P003,1,1258.6
163,O00068,P018,2,124.6
164,O00068,P009,2,77.0
165,O00069,P013,3,90.0
166,O00069,P006,1,95.0
167,O00070,P009,3,55.0
168,O00070,P004,3,45.0
169,O00070,P007,3,180.0
170,O00071,P007,2,207.0
171,O00071,P006,2,109.25
172,O00072,P012,3,46.0
173,O00072,P013,3,103.5
174,O00073,P018,1,102.35
175,O00073,P017,2,74.75
176,O00073,P020,3,63.25
177,O00073,P004,2,51.75
178,O00074,P015,2,40.25
179,O00074,P014,1,69.0
180,O00074,P005,2,138.0
181,O00075,P012,2,40.0
182,O00075,P019,3,130.0
183,O00075,P018,1,89.0
184,O00075,P013,2,90.0
185,O00076,P003,1,899.0
186,O00077,P012,3,40.0
187,O00078,P005,3,120.0
188,O00079,P009,3,55.0
189,O00079,P010,3,85.0
190,O00080,P018,2,89.0
191,O00080,P015,2,35.0
192,O00080,P019,2,130.0
193,O00080,P002,2,150.0
194,O00081,P015,1,35.0
195,O00081,P010,2,85.0
196,O00081,P002,1,150.0
197,O00081,P008,3,75.0
198,O00082,P018,3,89.0
199,O00083,P012,2,40.0
200,O00083,P008,2,75.0
201,O00084,P004,2,63.0
202,O00084,P001,1,1680.0
203,O00084,P013,3,126.0
204,O00085,P003,2,899.0
205,O00085,P014,3,60.0
206,O00085,P004,3,45.0
207,O00086,P018,3,102.35
208,O00086,P013,1,103.5
209,O00086,P008,3,86.25
210,O00087,P015,2,40.25
211,O00088,P004,3,51.75
212,O00088,P007,1,207.0
213,O00089,P015,3,35.0
214,O00089,P020,1,55.0
215,O00089,P014,2,60.0
216,O00090,P018,3,89.0
217,O00090,P004,1,45.0
218,O00091,P011,1,110.0
219,O00092,P015,1,40.25
220,O00092,P011,1,126.5
221,O00092,P009,3,63.25
222,O00092,P010,1,97.75
223,O00093,P015,2,35.0
224,O00093,P004,3,45.0
225,O00093,P010,3,85.0
226,O00094,P005,3,120.0
227,O00095,P003,3,899.0
228,O00095,P020,1,55.0
229,O00096,P018,1,89.0
230,O00096,P002,1,150.0
231,O00097,P017,1,65.0
232,O00097,P013,1,90.0
233,O00098,P012,3,56.0
234,O00098,P004,2,63.0
235,O00098,P013,2,126.0
236,O00099,P018,2,89.0
237,O00099,P015,1,35.0
238,O00099,P016,3,120.0
239,O00100,P017,2,74.75
240,O00100,P002,3,172.5
241,O00100,P016,3,138.0
242,O00100,P008,2,86.25
243,O00101,P001,3,1380.0
244,O00101,P020,1,63.25
245,O00101,P007,3,207.0
246,O00101,P016,2,138.0
247,O00102,P017,2,74.75
248,O00103,P017,3,74.75
249,O00103,P011,3,126.5
250,O00103,P007,1,207.0
251,O00103,P006,3,109.25
252,O00104,P019,3,182.0
253,O00104,P002,2,210.0
254,O00104,P016,1,168.0
255,O00105,P001,2,1680.0
256,O00105,P010,1,119.0
257,O00106,P019,3,130.0
258,O00106,P004,2,45.0
259,O00106,P006,2,95.0
260,O00107,P015,1,40.25
261,O00107,P001,3,1380.0
262,O00107,P011,1,126.5
263,O00107,P014,3,69.0
264,O00108,P001,2,1680.0
265,O00109,P015,1,35.0
266,O00109,P011,1,110.0
267,O00109,P004,2,45.0
268,O00109,P002,2,150.0
269,O00110,P017,1,74.75
270,O00110,P009,3,63.25
271,O00111,P018,3,102.35
272,O00111,P002,3,172.5
273,O00111,P016,2,138.0
274,O00112,P002,3,172.5
275,O00112,P003,3,1033.85
276,O00112,P007,3,207.0
277,O00112,P006,3,109.25
278,O00113,P015,3,40.25
279,O00113,P018,2,102.35
280,O00113,P016,1,138.0
281,O00114,P015,1,49.0
282,O00114,P006,1,133.0
283,O00115,P012,1,40.0
284,O00115,P003,2,899.0
285,O00115,P011,2,110.0
286,O00115,P013,1,90.0
287,O00116,P015,1,35.0
288,O00116,P020,1,55.0
289,O00116,P016,3,120.0
290,O00116,P008,1,75.0
291,O00117,P019,2,130.0
292,O00117,P004,3,45.0
293,O00117,P020,2,55.0
294,O00118,P012,1,40.0
295,O00118,P014,2,60.0
296,O00118,P009,1,55.0
297,O00119,P002,2,150.0
298,O00120,P014,1,69.0
299,O00120,P013,1,103.5
300,O00120,P002,1,172.5
301,O00121,P004,2,63.0
302,O00122,P003,2,1258.6
303,O00122,P004,3,63.0
304,O00122,P016,1,168.0
305,O00123,P017,3,65.0
306,O00123,P002,3,150.0
307,O00123,P005,3,120.0
308,O00124,P012,2,46.0
309,O00124,P008,1,86.25
310,O00124,P011,2,126.5
311,O00124,P010,1,97.75
312,O00125,P004,3,51.75
313,O00126,P018,1,89.0
314,O00127,P010,2,85.0
315,O00128,P018,3,89.0
316,O00128,P019,3,130.0
317,O00129,P009,3,77.0
318,O00129,P007,2,252.0
319,O00130,P012,1,56.0
320,O00130,P004,2,63.0
321,O00131,P018,2,124.6
322,O00131,P007,1,252.0
323,O00131,P016,2,168.0
324,O00131,P002,1,210.0
325,O00132,P015,1,35.0
326,O00132,P020,1,55.0
327,O00132,P012,1,40.0
328,O00132,P016,2,120.0
329,O00133,P012,3,40.0
330,O00133,P014,1,60.0
331,O00134,P016,2,120.0
332,O00135,P020,1,55.0
333,O00135,P009,3,55.0
334,O00136,P002,1,172.5
335,O00137,P012,3,40.0
336,O00138,P012,1,56.0
337,O00138,P020,2,77.0
338,O00138,P002,2,210.0
339,O00138,P010,2,119.0
340,O00139,P004,3,63.0
341,O00139,P002,1,210.0
342,O00140,P004,2,45.0
343,O00141,P018,2,89.0
344,O00141,P017,3,65.0
345,O00141,P002,3,150.0
346,O00142,P004,2,45.0
347,O00143,P015,2,40.25
348,O00144,P015,2,35.0
349,O00145,P003,1,899.0
350,O00145,P002,1,150.0
351,O00146,P020,1,55.0
352,O00147,P018,2,89.0
353,O00147,P002,1,150.0
354,O00148,P015,2,40.25
355,O00148,P019,1,149.5
356,O00148,P009,2,63.25
357,O00148,P002,3,172.5
358,O00149,P019,2,130.0
359,O00149,P008,2,75.0
360,O00150,P001,1,1200.0
361,O00150,P013,3,90.0
362,O00151,P012,1,40.0
363,O00151,P006,2,95.0
364,O00151,P009,1,55.0
