order_id,customer_id,order_date,status,amount
O00001,C0001,2023-02-13,returned,472.0
O00002,C0001,2023-03-22,completed,934.0
O00003,C0001,2023-10-22,completed,420.0
O00004,C0001,2023-10-25,returned,35.0
O00005,C0001,2023-12-21,completed,308.0
O00006,C0002,2023-03-02,cancelled,75.0
O00007,C0002,2023-04-02,returned,2660.0
O00008,C0002,2023-10-20,completed,2569.0
O00009,C0002,2023-11-25,returned,3252.2
O00010,C0002,2024-10-23,returned,3895.0
O00011,C0002,2024-10-29,completed,300.0
O00012,C0003,2023-04-08,completed,605.0
O00013,C0003,2023-05-24,cancelled,240.0
O00014,C0003,2023-07-09,completed,138.0
O00015,C0003,2023-09-12,completed,440.0
O00016,C0003,2023-11-28,completed,427.0
O00017,C0003,2024-05-03,cancelled,370.0
O00018,C0003,2024-11-16,completed,168.0
O00019,C0004,2023-03-05,completed,223.0
O00020,C0004,2023-04-25,completed,805.0
O00021,C0004,2024-06-01,completed,4801.25
O00022,C0004,2024-07-14,completed,189.75
O00023,C0005,2023-03-12,completed,525.0
O00024,C0005,2024-04-28,returned,343.0
O00025,C0006,2024-10-31,completed,135.0
O00026,C0007,2023-01-04,returned,580.0
O00027,C0007,2023-01-24,completed,575.0
O00028,C0007,2023-08-17,returned,138.0
O00029,C0007,2023-11-02,returned,1297.8
O00030,C0008,2023-05-27,returned,495.0
O00031,C0008,2023-08-15,returned,1017.75
O00032,C0008,2023-08-31,returned,373.75
O00033,C0008,2023-11-06,completed,231.0
O00034,C0008,2023-11-25,cancelled,2972.2
O00035,C0008,2024-06-17,returned,701.5
O00036,C0008,2024-11-07,cancelled,124.6
O00037,C0008,2024-11-19,cancelled,557.2
O00038,C0009,2023-05-01,completed,705.0
O00039,C0009,2023-07-29,returned,770.5
O00040,C0009,2023-09-03,completed,360.0
O00041,C0009,2023-09-06,cancelled,415.0
O00042,C0009,2023-11-26,completed,791.0
O00043,C0009,2024-02-11,completed,480.0
O00044,C0009,2024-05-05,cancelled,89.0
O00045,C0009,2024-07-19,completed,189.75
O00046,C0009,2024-09-10,completed,35.0
O00047,C0009,2024-12-13,completed,756.0
O00048,C0009,2024-12-21,completed,112.0
O00049,C0010,2023-01-18,completed,420.0
O00050,C0010,2023-04-09,returned,150.0
O00051,C0010,2023-04-20,returned,210.0
O00052,C0010,2023-06-02,completed,126.5
O00053,C0010,2023-07-03,cancelled,5014.0
O00054,C0010,2023-10-21,completed,135.0
O00055,C0010,2024-03-16,cancelled,950.0
O00056,C0010,2024-05-29,completed,5142.0
O00057,C0010,2024-06-20,completed,92.0
O00058,C0010,2024-07-02,cancelled,408.25
O00059,C0010,2024-11-21,cancelled,1236.2
O00060,C0010,2024-12-15,cancelled,910.0
O00061,C0011,2023-08-02,cancelled,667.0
O00062,C0011,2024-12-20,completed,6129.2
O00063,C0012,2023-01-27,returned,190.0
O00064,C0012,2023-04-02,completed,125.0
O00065,C0012,2023-04-06,completed,710.0
O00066,C0012,2023-04-16,completed,670.0
O00067,C0012,2023-11-29,returned,1258.6
O00068,C0012,2023-12-29,returned,403.2
O00069,C0012,2024-02-22,returned,365.0
O00070,C0012,2024-04-04,returned,840.0
O00071,C0012,2024-06-08,returned,632.5
O00072,C0012,2024-07-21,completed,448.5
O00073,C0012,2024-07-22,completed,545.1
O00074,C0012,2024-07-24,completed,425.5
O00075,C0012,2024-09-03,cancelled,739.0
O00076,C0012,2024-09-04,cancelled,899.0
O00077,C0013,2024-10-24,cancelled,120.0
O00078,C0014,2023-05-19,completed,360.0
O00079,C0014,2024-04-15,cancelled,420.0
O00080,C0015,2023-01-26,completed,808.0
O00081,C0015,2023-04-18,completed,580.0
O00082,C0015,2024-05-09,completed,267.0
O00083,C0016,2023-09-07,cancelled,230.0
O00084,C0017,2023-11-03,returned,2184.0
O00085,C0018,2023-04-15,completed,2113.0
O00086,C0018,2023-07-11,completed,669.3
O00087,C0018,2024-07-03,completed,80.5
O00088,C0018,2024-08-14,completed,362.25
O00089,C0019,2023-05-22,completed,280.0
O00090,C0019,2024-01-28,completed,312.0
O00091,C0019,2024-03-09,completed,110.0
O00092,C0019,2024-08-11,returned,454.25
O00093,C0020,2023-02-03,completed,460.0
O00094,C0020,2023-10-09,completed,360.0
O00095,C0021,2024-09-16,cancelled,2752.0
O00096,C0022,2024-04-05,completed,239.0
O00097,C0023,2024-09-16,returned,155.0
O00098,C0023,2024-12-28,cancelled,546.0
O00099,C0024,2023-05-03,completed,573.0
O00100,C0024,2023-06-09,completed,1253.5
O00101,C0024,2023-07-11,completed,5100.25
O00102,C0024,2023-07-17,completed,149.5
O00103,C0024,2023-07-20,completed,1138.5
O00104,C0024,2023-11-14,returned,1134.0
O00105,C0024,2023-12-12,completed,3479.0
